size	fec	competition
2.03	83	no
2.17	110	no
2.06	78	no
2.21	114	no
1.95	89	no
2.06	107	no
2.19	120	no
2.11	105	no
1.94	98	no
1.88	104	no
2.14	98	no
2.16	124	no
2.17	87	no
2.15	94	no
2	67	no
1.99	91	no
2.18	113	no
1.93	71	no
2.21	131	no
2.12	84	no
1.9	69	yes
1.94	44	yes
2.05	55	yes
2.14	80	yes
1.8	24	yes
2.01	78	yes
2.1	65	yes
2.05	73	yes
1.93	75	yes
1.92	68	yes
1.97	80	yes
2.12	122	yes
2.01	52	yes
2.05	76	yes
2.08	77	yes
1.91	97	yes
1.96	58	yes
1.81	49	yes
2.07	70	yes
1.91	85	yes
